,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
전국,합계,"229,600","3,349","341,712"
서울,합계,"39,258",250,"53,904"
서울,종로구,"1,133",6,"1,559"
서울,중구,"1,184",5,"1,615"
서울,용산구,"1,187",10,"1,614"
서울,성동구,"1,091",13,"1,439"
서울,동대문구,"1,565",15,"1,988"
서울,성북구,"1,509",8,"2,007"
서울,도봉구,852,4,"1,163"
서울,은평구,"1,119",7,"1,464"
서울,서대문구,"1,113",14,"1,609"
서울,마포구,"1,494",7,"2,123"
서울,강서구,"1,829",20,"2,491"
서울,구로구,"1,529",13,"2,096"
서울,영등포구,"2,439",11,"3,451"
서울,동작구,"1,406",5,"2,021"
서울,관악구,"1,363",10,"1,755"
서울,강남구,"3,722",14,"5,182"
서울,강동구,"1,414",11,"1,910"
서울,송파구,"2,892",13,"4,003"
서울,서초구,"2,418",14,"3,530"
서울,양천구,"1,506",11,"2,085"
서울,중랑구,"1,620",12,"2,122"
서울,노원구,"1,703",8,"2,302"
서울,광진구,973,3,"1,316"
서울,강북구,"1,277",7,"1,706"
서울,금천구,920,9,"1,353"
부산,합계,"12,992",116,"17,832"
부산,중구,295,1,384
부산,서구,474,2,684
부산,동구,574,3,826
부산,영도구,348,3,464
부산,진구,"1,688",14,"2,304"
부산,동래구,"1,103",6,"1,482"
부산,남구,901,5,"1,175"
부산,북구,701,10,973
부산,해운대구,"1,064",16,"1,427"
부산,사하구,"1,110",12,"1,529"
부산,금정구,801,6,"1,082"
부산,강서구,669,8,916
부산,연제구,868,3,"1,183"
부산,수영구,791,4,"1,069"
부산,사상구,"1,100",13,"1,528"
부산,기장군,505,10,806
경기,합계,"55,463",631,"84,508"
경기,수원시,"4,920",31,"7,044"
경기,성남시,"3,801",39,"5,745"
경기,의정부시,"1,704",17,"2,462"
경기,안양시,"1,616",20,"2,366"
경기,부천시,"3,667",23,"5,108"
경기,안산시,"3,965",27,"5,942"
경기,평택시,"3,527",51,"5,730"
경기,광명시,"1,068",9,"1,504"
경기,구리시,751,6,"1,103"
경기,양주시,"1,118",19,"1,685"
경기,여주시,592,17,983
경기,화성시,"3,008",33,"4,782"
경기,시흥시,"2,480",30,"3,880"
경기,파주시,"1,658",21,"2,408"
경기,고양시,"3,916",39,"5,794"
경기,광주시,"1,867",20,"2,871"
경기,연천군,196,11,308
경기,포천시,887,15,"1,475"
경기,가평군,396,8,678
경기,양평군,591,13,955
경기,이천시,"1,102",33,"1,687"
경기,용인시,"3,485",34,"5,698"
경기,안성시,"1,014",16,"1,734"
경기,김포시,"1,792",24,"2,787"
경기,동두천시,417,6,565
경기,과천시,237,1,380
경기,군포시,650,3,"1,024"
경기,남양주시,"2,411",31,"3,843"
경기,오산시,"1,057",7,"1,582"
경기,의왕시,488,10,780
경기,하남시,"1,082",17,"1,605"
강원,합계,"7,554",185,"11,752"
강원,춘천시,"1,590",23,"2,443"
강원,원주시,"1,985",34,"3,000"
강원,동해시,358,7,494
강원,강릉시,888,14,"1,360"
강원,속초시,391,8,592
강원,태백시,177,2,267
강원,삼척시,414,16,642
강원,홍천군,359,16,551
강원,횡성군,203,9,371
강원,영월군,156,4,252
강원,평창군,183,5,344
강원,정선군,107,6,169
강원,철원군,144,12,220
강원,화천군,101,9,178
강원,양구군,88,2,156
강원,인제군,94,8,148
강원,고성군,138,1,220
강원,양양군,178,9,345
충북,합계,"9,538",188,"15,539"
충북,청주시,"4,949",49,"7,938"
충북,충주시,"1,364",36,"2,350"
충북,제천시,870,19,"1,473"
충북,보은군,165,13,294
충북,옥천군,236,7,343
충북,영동군,218,9,334
충북,진천군,516,11,840
충북,괴산군,190,10,297
충북,음성군,663,18,"1,094"
충북,단양군,157,10,279
충북,증평군,210,6,297
충남,합계,"9,404",308,"14,087"
충남,천안시,"3,137",42,"4,653"
충남,아산시,"1,083",36,"1,521"
충남,보령시,479,16,704
충남,공주시,608,22,"1,034"
충남,서산시,839,26,"1,268"
충남,금산군,150,7,209
충남,태안군,320,17,584
충남,논산시,476,26,744
충남,부여군,222,16,278
충남,서천군,323,18,462
충남,청양군,191,10,271
충남,홍성군,341,21,474
충남,예산군,397,17,580
충남,당진시,783,33,"1,207"
충남,계룡시,55,1,98
전북,합계,"7,615",238,"11,651"
전북,전주시,"2,365",35,"3,541"
전북,군산시,"1,225",25,"1,915"
전북,정읍시,596,20,904
전북,남원시,311,8,440
전북,김제시,481,23,874
전북,완주군,278,17,422
전북,진안군,77,7,137
전북,무주군,125,9,220
전북,장수군,65,11,78
전북,임실군,115,7,181
전북,순창군,110,9,134
전북,고창군,173,15,282
전북,부안군,298,18,516
전북,익산시,"1,396",34,"2,007"
전남,합계,"10,877",294,"17,905"
전남,목포시,"1,818",13,"3,127"
전남,여수시,"1,567",27,"2,408"
전남,순천시,"1,462",28,"2,344"
전남,나주시,646,25,"1,120"
전남,광양시,739,17,"1,142"
전남,담양군,321,12,594
전남,곡성군,153,9,271
전남,구례군,142,7,228
전남,고흥군,329,17,595
전남,보성군,276,15,440
전남,화순군,325,11,546
전남,장흥군,301,11,466
전남,강진군,321,6,523
전남,해남군,434,22,712
전남,영암군,493,11,899
전남,무안군,395,17,579
전남,함평군,193,9,297
전남,영광군,225,11,347
전남,장성군,270,7,476
전남,완도군,186,4,299
전남,진도군,140,12,223
전남,신안군,141,3,269
경북,합계,"14,648",354,"21,970"
경북,포항시,"2,777",33,"4,269"
경북,경주시,"1,741",35,"2,714"
경북,김천시,683,17,952
경북,안동시,"1,045",31,"1,562"
경북,구미시,"2,027",30,"2,989"
경북,영주시,555,11,741
경북,영천시,793,23,"1,351"
경북,문경시,406,8,631
경북,상주시,630,26,893
경북,군위군,135,18,227
경북,의성군,241,20,334
경북,청송군,89,7,126
경북,영양군,64,2,95
경북,영덕군,234,9,344
경북,청도군,212,13,323
경북,고령군,163,4,242
경북,성주군,289,11,416
경북,칠곡군,781,17,"1,236"
경북,예천군,206,6,306
경북,봉화군,149,5,239
경북,울진군,171,6,235
경북,울릉군,18,0,62
경북,경산시,"1,239",22,"1,683"
경남,합계,"12,830",293,"18,563"
경남,진주시,842,28,"1,082"
경남,통영시,716,3,"1,135"
경남,김해시,"2,318",32,"3,450"
경남,밀양시,532,23,728
경남,거제시,"1,011",17,"1,500"
경남,의령군,143,5,214
경남,함안군,327,17,494
경남,창녕군,333,7,500
경남,양산시,"1,286",25,"1,851"
경남,고성군,266,10,383
경남,사천시,668,11,"1,041"
경남,남해군,192,8,297
경남,하동군,143,11,205
경남,산청군,173,2,297
경남,함양군,201,7,300
경남,거창군,250,15,320
경남,합천군,184,10,242
경남,창원시(통합),"3,245",62,"4,524"
제주,합계,"4,412",66,"6,818"
제주,제주시,"3,139",40,"4,766"
제주,서귀포시,"1,273",26,"2,052"
대구,합계,"14,536",112,"21,598"
대구,중구,869,11,"1,325"
대구,동구,"1,954",19,"2,975"
대구,서구,"1,317",8,"1,958"
대구,남구,902,4,"1,318"
대구,북구,"2,413",22,"3,544"
대구,수성구,"2,436",9,"3,663"
대구,달서구,"3,679",17,"5,381"
대구,달성군,966,22,"1,434"
인천,합계,"8,698",118,"12,258"
인천,중구,631,6,"1,062"
인천,동구,154,3,215
인천,미추홀구,"1,229",17,"1,641"
인천,부평구,"1,278",16,"1,709"
인천,남동구,"1,937",23,"2,747"
인천,서구,"1,688",20,"2,406"
인천,연수구,670,10,955
인천,계양구,879,10,"1,190"
인천,강화군,200,10,278
인천,옹진군,32,3,55
광주,합계,"8,169",49,"13,076"
광주,동구,604,6,933
광주,서구,"2,106",7,"3,441"
광주,북구,"2,430",15,"3,801"
광주,광산구,"2,129",15,"3,531"
광주,남구,900,6,"1,370"
대전,합계,"8,337",77,"12,649"
대전,동구,"1,430",14,"2,162"
대전,중구,"1,348",12,"2,022"
대전,서구,"2,677",23,"4,096"
대전,유성구,"2,027",14,"3,161"
대전,대덕구,855,14,"1,208"
울산,합계,"4,347",55,"6,301"
울산,중구,737,5,"1,076"
울산,남구,"1,383",9,"1,925"
울산,동구,628,1,817
울산,북구,693,13,"1,110"
울산,울주군,906,27,"1,373"
세종,합계,922,15,"1,301"
세종,세종시,922,15,"1,301"
