,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
경남,하동군,116,10,148
경남,산청군,183,9,294
경남,함양군,152,7,231
경남,거창군,253,18,317
경남,합천군,216,12,295
경남,창원시(통합),"2,978",59,"4,149"
제주,합계,"4,030",68,"6,131"
제주,제주시,"2,879",44,"4,263"
제주,서귀포시,"1,151",24,"1,868"
대구,합계,"12,940",112,"18,974"
대구,중구,709,8,"1,056"
대구,동구,"1,731",21,"2,615"
대구,서구,"1,170",10,"1,710"
대구,남구,892,7,"1,349"
대구,북구,"2,137",17,"2,998"
대구,수성구,"2,135",11,"3,139"
대구,달서구,"3,221",15,"4,714"
대구,달성군,945,23,"1,393"
인천,합계,"8,505",91,"11,950"
인천,중구,486,7,757
인천,동구,153,4,198
인천,미추홀구,"1,141",9,"1,554"
인천,부평구,"1,412",11,"1,903"
인천,남동구,"1,834",19,"2,649"
인천,서구,"1,712",16,"2,394"
인천,연수구,655,8,932
인천,계양구,894,4,"1,250"
인천,강화군,183,11,249
인천,옹진군,35,2,64
광주,합계,"7,718",63,"12,293"
광주,동구,540,3,778
광주,서구,"2,019",9,"3,204"
광주,북구,"2,208",25,"3,540"
광주,광산구,"2,088",15,"3,444"
광주,남구,863,11,"1,327"
대전,합계,"7,215",66,"10,636"
대전,동구,"1,102",16,"1,633"
대전,중구,"1,225",11,"1,781"
대전,서구,"2,333",19,"3,452"
대전,유성구,"1,803",8,"2,722"
대전,대덕구,752,12,"1,048"
울산,합계,"3,834",51,"5,444"
울산,중구,603,8,847
울산,남구,"1,272",11,"1,744"
울산,동구,554,3,721
울산,북구,667,14,"1,039"
울산,울주군,738,15,"1,093"
세종,합계,813,7,"1,076"
세종,세종시,813,7,"1,076"
