,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
전국,합계,"216,335","4,185","322,829"
서울,합계,"38,625",343,"53,810"
서울,종로구,"1,190",13,"1,689"
서울,중구,"1,252",4,"1,684"
서울,용산구,"1,337",12,"1,949"
서울,성동구,"1,076",15,"1,501"
서울,동대문구,"1,718",25,"2,139"
서울,성북구,"1,557",17,"2,068"
서울,도봉구,944,9,"1,239"
서울,은평구,"1,067",12,"1,489"
서울,서대문구,"1,032",8,"1,430"
서울,마포구,"1,859",8,"2,793"
서울,강서구,"1,584",12,"2,155"
서울,구로구,"1,433",12,"1,960"
서울,영등포구,"2,386",22,"3,519"
서울,동작구,"1,409",20,"2,043"
서울,관악구,"1,251",11,"1,659"
서울,강남구,"3,469",19,"4,959"
서울,강동구,"1,371",19,"1,873"
서울,송파구,"2,758",23,"3,805"
서울,서초구,"2,361",21,"3,548"
서울,양천구,"1,343",13,"1,789"
서울,중랑구,"1,639",6,"2,228"
서울,노원구,"1,499",11,"2,055"
서울,광진구,"1,064",16,"1,441"
서울,강북구,"1,202",9,"1,567"
서울,금천구,824,6,"1,228"
부산,합계,"11,753",164,"16,157"
부산,중구,354,4,464
부산,서구,441,6,620
부산,동구,537,6,736
부산,영도구,356,4,475
부산,진구,"1,482",20,"2,051"
부산,동래구,943,8,"1,240"
부산,남구,825,4,"1,108"
부산,북구,742,17,976
부산,해운대구,"1,057",9,"1,534"
부산,사하구,"1,056",14,"1,409"
부산,금정구,758,8,"1,050"
부산,강서구,564,16,818
부산,연제구,620,5,815
부산,수영구,668,7,904
부산,사상구,919,20,"1,290"
부산,기장군,431,16,667
경기,합계,"50,627",784,"77,551"
경기,수원시,"4,842",45,"6,962"
경기,성남시,"3,742",32,"5,764"
경기,의정부시,"1,477",24,"2,109"
경기,안양시,"1,693",19,"2,342"
경기,부천시,"3,037",33,"4,255"
경기,안산시,"3,733",41,"5,599"
경기,평택시,"3,001",61,"4,828"
경기,광명시,955,6,"1,427"
경기,구리시,585,8,864
경기,양주시,"1,038",15,"1,534"
경기,여주시,544,15,933
경기,화성시,"2,732",60,"4,351"
경기,시흥시,"2,205",29,"3,408"
경기,파주시,"1,690",36,"2,536"
경기,고양시,"3,593",40,"5,501"
경기,광주시,"1,394",22,"2,173"
경기,연천군,218,7,381
경기,포천시,893,29,"1,531"
경기,가평군,432,15,763
경기,양평군,539,20,839
경기,이천시,"1,028",33,"1,590"
경기,용인시,"3,032",46,"5,026"
경기,안성시,997,27,"1,751"
경기,김포시,"1,515",26,"2,312"
경기,동두천시,382,10,559
경기,과천시,227,3,418
경기,군포시,698,14,"1,026"
경기,남양주시,"2,303",36,"3,554"
경기,오산시,866,13,"1,338"
경기,의왕시,470,5,721
경기,하남시,766,14,"1,156"
강원,합계,"8,316",236,"13,532"
강원,춘천시,"1,686",32,"2,650"
강원,원주시,"2,205",35,"3,522"
강원,동해시,451,7,673
강원,강릉시,"1,028",26,"1,632"
강원,속초시,460,5,748
강원,태백시,156,6,262
강원,삼척시,363,10,613
강원,홍천군,356,13,575
강원,횡성군,182,12,295
강원,영월군,183,9,299
강원,평창군,289,22,650
강원,정선군,189,9,296
강원,철원군,175,15,279
강원,화천군,85,2,134
강원,양구군,91,5,147
강원,인제군,147,12,300
강원,고성군,107,5,168
강원,양양군,163,11,289
충북,합계,"9,273",230,"15,136"
충북,청주시,"4,832",67,"7,633"
충북,충주시,"1,265",43,"2,111"
충북,제천시,949,13,"1,667"
충북,보은군,145,19,218
충북,옥천군,222,10,351
충북,영동군,191,12,274
충북,진천군,516,17,827
충북,괴산군,195,15,337
충북,음성군,624,21,"1,121"
충북,단양군,143,9,295
충북,증평군,191,4,302
충남,합계,"9,241",351,"14,158"
충남,천안시,"2,776",49,"4,195"
충남,아산시,"1,038",51,"1,471"
충남,보령시,446,24,665
충남,공주시,598,26,"1,047"
충남,서산시,774,30,"1,125"
충남,금산군,232,12,356
충남,태안군,370,14,620
충남,논산시,581,34,892
충남,부여군,228,12,288
충남,서천군,361,16,565
충남,청양군,206,11,339
충남,홍성군,370,14,538
충남,예산군,372,24,594
충남,당진시,817,33,"1,363"
충남,계룡시,72,1,100
전북,합계,"7,748",307,"11,948"
전북,전주시,"2,431",54,"3,811"
전북,군산시,"1,266",31,"1,843"
전북,정읍시,734,27,"1,129"
전북,남원시,292,25,397
전북,김제시,530,24,854
전북,완주군,235,24,338
전북,진안군,60,9,92
전북,무주군,131,10,251
전북,장수군,59,10,77
전북,임실군,99,8,163
전북,순창군,154,14,221
전북,고창군,175,17,271
전북,부안군,327,12,587
전북,익산시,"1,255",42,"1,914"
전남,합계,"9,770",387,"15,672"
전남,목포시,"1,458",23,"2,371"
전남,여수시,"1,385",48,"2,119"
전남,순천시,"1,349",27,"2,094"
전남,나주시,651,26,"1,097"
전남,광양시,683,10,"1,107"
전남,담양군,300,19,466
전남,곡성군,150,14,231
전남,구례군,133,6,227
전남,고흥군,335,16,507
전남,보성군,240,24,336
전남,화순군,284,13,512
전남,장흥군,263,11,373
전남,강진군,281,11,480
전남,해남군,389,22,659
전남,영암군,389,19,714
전남,무안군,412,28,721
전남,함평군,179,13,301
전남,영광군,256,12,378
전남,장성군,247,12,414
전남,완도군,177,9,259
전남,진도군,126,16,169
전남,신안군,83,8,137
경북,합계,"13,896",425,"20,707"
경북,포항시,"2,589",32,"3,919"
경북,경주시,"1,675",43,"2,599"
경북,김천시,622,22,885
경북,안동시,967,33,"1,449"
경북,구미시,"2,081",36,"3,058"
경북,영주시,583,11,839
경북,영천시,628,24,"1,037"
경북,문경시,410,13,622
경북,상주시,554,36,735
경북,군위군,103,12,152
경북,의성군,246,16,335
경북,청송군,87,6,152
경북,영양군,79,3,127
경북,영덕군,287,11,464
경북,청도군,237,18,376
경북,고령군,185,5,279
경북,성주군,259,15,354
경북,칠곡군,736,18,"1,160"
경북,예천군,170,11,231
경북,봉화군,122,8,208
경북,울진군,172,12,213
경북,울릉군,17,1,42
경북,경산시,"1,087",39,"1,471"
경남,합계,"11,742",337,"16,838"
경남,진주시,755,33,972
경남,통영시,692,12,998
경남,김해시,"2,190",35,"3,263"
경남,밀양시,401,24,544
경남,거제시,"1,010",21,"1,423"
경남,의령군,132,5,194
경남,함안군,278,17,412
경남,창녕군,377,19,527
경남,양산시,"1,042",18,"1,488"
경남,고성군,242,9,364
경남,사천시,663,15,"1,068"
경남,남해군,188,3,280
경남,하동군,166,15,225
경남,산청군,164,5,297
경남,함양군,180,7,277
경남,거창군,256,15,345
경남,합천군,191,12,237
경남,창원시(통합),"2,815",72,"3,924"
제주,합계,"4,378",80,"6,602"
제주,제주시,"3,031",49,"4,529"
제주,서귀포시,"1,347",31,"2,073"
대구,합계,"12,970",148,"18,553"
대구,중구,"1,007",6,"1,435"
대구,동구,"1,623",22,"2,377"
대구,서구,"1,302",14,"1,867"
대구,남구,840,10,"1,203"
대구,북구,"2,215",25,"3,140"
대구,수성구,"1,987",21,"2,843"
대구,달서구,"3,123",20,"4,489"
대구,달성군,873,30,"1,199"
인천,합계,"7,719",105,"11,257"
인천,중구,422,8,687
인천,동구,133,1,199
인천,남구,"1,094",15,"1,591"
인천,부평구,"1,276",12,"1,768"
인천,남동구,"1,641",21,"2,500"
인천,서구,"1,506",21,"2,159"
인천,연수구,592,4,868
인천,계양구,807,7,"1,092"
인천,강화군,210,11,315
인천,옹진군,38,5,78
광주,합계,"7,499",120,"11,876"
광주,동구,573,12,909
광주,서구,"1,912",25,"3,005"
광주,북구,"2,249",34,"3,597"
광주,광산구,"1,957",34,"3,087"
광주,남구,808,15,"1,278"
대전,합계,"7,767",86,"11,798"
대전,동구,"1,094",25,"1,559"
대전,중구,"1,205",13,"1,786"
대전,서구,"2,440",20,"3,675"
대전,유성구,"1,883",10,"3,064"
대전,대덕구,"1,145",18,"1,714"
울산,합계,"4,265",64,"6,127"
울산,중구,901,8,"1,255"
울산,남구,"1,353",16,"1,979"
울산,동구,470,9,594
울산,북구,632,5,946
울산,울주군,909,26,"1,353"
세종,합계,746,18,"1,107"
세종,세종,746,18,"1,107"
