,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
경북,영천시,740,12,"1,222"
경북,문경시,289,9,434
경북,상주시,492,30,701
경북,군위군,119,6,188
경북,의성군,209,14,303
경북,청송군,74,9,90
경북,영양군,63,3,99
경북,영덕군,258,7,405
경북,청도군,178,10,235
경북,고령군,177,9,247
경북,성주군,247,11,366
경북,칠곡군,713,20,"1,116"
경북,예천군,180,4,238
경북,봉화군,83,11,130
경북,울진군,93,5,121
경북,울릉군,11,2,10
경북,경산시,931,23,"1,208"
경남,합계,"11,059",257,"15,414"
경남,진주시,702,31,890
경남,통영시,637,6,932
경남,김해시,"1,991",31,"2,826"
경남,밀양시,478,14,683
경남,거제시,808,15,"1,082"
경남,의령군,142,7,188
경남,함안군,282,7,420
경남,창녕군,263,2,380
경남,양산시,"1,318",20,"1,796"
경남,고성군,209,6,273
경남,사천시,597,16,902
경남,남해군,194,5,275
경남,하동군,102,9,132
경남,산청군,180,14,304
경남,함양군,174,9,253
경남,거창군,274,9,359
경남,합천군,152,4,208
경남,창원시(통합),"2,556",52,"3,511"
제주,합계,"4,373",52,"6,725"
제주,제주시,"3,062",34,"4,625"
제주,서귀포시,"1,311",18,"2,100"
대구,합계,"12,133",84,"17,230"
대구,중구,621,6,906
대구,동구,"1,656",14,"2,435"
대구,서구,"1,008",8,"1,501"
대구,남구,765,3,"1,033"
대구,북구,"2,100",16,"2,951"
대구,수성구,"2,136",9,"3,062"
대구,달서구,"2,991",15,"4,094"
대구,달성군,856,13,"1,248"
인천,합계,"7,912",104,"10,730"
인천,중구,431,15,617
인천,동구,107,4,136
인천,미추홀구,"1,150",10,"1,540"
인천,부평구,"1,472",11,"1,905"
인천,남동구,"1,542",14,"2,122"
인천,서구,"1,688",24,"2,306"
인천,연수구,542,9,743
인천,계양구,749,9,"1,009"
인천,강화군,198,7,285
인천,옹진군,33,1,67
광주,합계,"7,543",49,"11,489"
광주,동구,591,5,853
광주,서구,"1,829",6,"2,758"
광주,북구,"2,165",15,"3,330"
광주,광산구,"2,204",15,"3,439"
광주,남구,754,8,"1,109"
대전,합계,"7,027",59,"10,175"
대전,동구,"1,046",10,"1,496"
대전,중구,"1,052",14,"1,508"
대전,서구,"2,162",13,"3,017"
대전,유성구,"1,905",16,"2,905"
대전,대덕구,862,6,"1,249"
울산,합계,"3,801",50,"5,238"
울산,중구,624,8,849
울산,남구,"1,193",14,"1,586"
울산,동구,467,2,610
울산,북구,786,8,"1,149"
울산,울주군,731,18,"1,044"
세종,합계,788,16,"1,031"
세종,세종시,788,16,"1,031"
