,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
전국,합계,"203,130","2,916","291,608"
서울,합계,"33,913",243,"45,223"
서울,종로구,778,6,"1,050"
서울,중구,854,3,"1,156"
서울,용산구,"1,014",5,"1,369"
서울,성동구,"1,057",8,"1,362"
서울,동대문구,"1,390",17,"1,656"
서울,성북구,"1,285",15,"1,606"
서울,도봉구,591,3,768
서울,은평구,867,11,"1,218"
서울,서대문구,930,9,"1,206"
서울,마포구,"1,102",14,"1,573"
서울,강서구,"1,501",13,"2,042"
서울,구로구,"1,350",9,"1,729"
서울,영등포구,"2,178",15,"2,967"
서울,동작구,"1,148",11,"1,520"
서울,관악구,"1,419",8,"1,829"
서울,강남구,"3,820",10,"5,175"
서울,강동구,"1,047",9,"1,413"
서울,송파구,"2,607",14,"3,509"
서울,서초구,"2,118",8,"2,932"
서울,양천구,"1,305",14,"1,692"
서울,중랑구,"1,373",7,"1,826"
서울,노원구,"1,413",8,"1,940"
서울,광진구,922,4,"1,216"
서울,강북구,"1,017",6,"1,302"
서울,금천구,827,16,"1,167"
부산,합계,"11,339",113,"15,457"
부산,중구,265,3,357
부산,서구,433,2,590
부산,동구,484,5,626
부산,영도구,341,4,462
부산,진구,"1,662",10,"2,270"
부산,동래구,839,5,"1,086"
부산,남구,705,4,898
부산,북구,566,7,747
부산,해운대구,968,9,"1,350"
부산,사하구,876,14,"1,143"
부산,금정구,871,7,"1,251"
부산,강서구,783,15,"1,188"
부산,연제구,666,2,904
부산,수영구,664,4,871
부산,사상구,705,12,917
부산,기장군,511,10,797
경기,합계,"53,332",537,"78,225"
경기,수원시,"4,615",25,"6,667"
경기,성남시,"3,398",27,"4,751"
경기,의정부시,"1,690",18,"2,354"
경기,안양시,"1,182",13,"1,690"
경기,부천시,"3,436",19,"4,655"
경기,안산시,"3,821",20,"5,525"
경기,평택시,"3,321",36,"5,051"
경기,광명시,992,10,"1,347"
경기,구리시,737,9,"1,074"
경기,양주시,998,6,"1,448"
경기,여주시,538,14,929
경기,화성시,"3,075",37,"4,548"
경기,시흥시,"2,385",32,"3,615"
경기,파주시,"1,708",28,"2,428"
경기,고양시,"3,532",39,"5,001"
경기,광주시,"2,265",17,"3,481"
경기,연천군,199,6,321
경기,포천시,914,15,"1,410"
경기,가평군,367,10,651
경기,양평군,504,20,812
경기,이천시,"1,192",14,"1,860"
경기,용인시,"3,603",31,"5,401"
경기,안성시,"1,072",24,"1,717"
경기,김포시,"1,775",18,"2,669"
경기,동두천시,351,2,477
경기,과천시,168,1,256
경기,군포시,622,9,904
경기,남양주시,"2,136",18,"3,257"
경기,오산시,"1,108",7,"1,571"
경기,의왕시,433,3,624
경기,하남시,"1,195",9,"1,731"
강원,합계,"6,605",145,"10,221"
강원,춘천시,"1,361",23,"1,988"
강원,원주시,"1,718",20,"2,620"
강원,동해시,362,2,579
강원,강릉시,653,17,965
강원,속초시,384,2,584
강원,태백시,190,7,268
강원,삼척시,257,6,384
강원,홍천군,329,18,564
강원,횡성군,208,9,304
강원,영월군,136,2,227
강원,평창군,178,4,396
강원,정선군,167,6,244
강원,철원군,125,6,207
강원,화천군,96,2,169
강원,양구군,81,6,122
강원,인제군,88,7,154
강원,고성군,119,5,199
강원,양양군,153,3,247
충북,합계,"7,985",160,"12,135"
충북,청주시,"4,141",49,"6,192"
충북,충주시,"1,147",25,"1,797"
충북,제천시,706,15,"1,144"
충북,보은군,136,10,231
충북,옥천군,153,9,200
충북,영동군,145,8,202
충북,진천군,491,16,703
충북,괴산군,181,6,314
충북,음성군,528,12,814
충북,단양군,147,7,228
충북,증평군,210,3,310
충남,합계,"8,423",265,"12,197"
충남,천안시,"3,039",29,"4,392"
충남,아산시,"1,185",27,"1,687"
충남,보령시,424,19,595
충남,공주시,461,13,715
충남,서산시,667,22,955
충남,금산군,111,8,158
충남,태안군,270,14,411
충남,논산시,350,23,538
충남,부여군,193,13,264
충남,서천군,256,17,401
충남,청양군,151,7,230
충남,홍성군,244,12,354
충남,예산군,326,23,442
충남,당진시,690,36,978
충남,계룡시,56,2,77
전북,합계,"6,112",193,"8,906"
전북,전주시,"2,151",39,"3,070"
전북,군산시,"1,100",21,"1,626"
전북,정읍시,379,17,585
전북,남원시,291,12,375
전북,김제시,263,13,398
전북,완주군,194,15,281
전북,진안군,63,7,94
전북,무주군,87,6,154
전북,장수군,34,6,52
전북,임실군,119,8,162
전북,순창군,110,6,158
전북,고창군,134,9,214
전북,부안군,200,11,304
전북,익산시,987,23,"1,433"
전남,합계,"8,685",255,"13,522"
전남,목포시,"1,385",20,"2,309"
전남,여수시,"1,357",22,"2,035"
전남,순천시,"1,152",24,"1,715"
전남,나주시,447,13,703
전남,광양시,575,15,796
전남,담양군,292,4,488
전남,곡성군,110,7,193
전남,구례군,117,4,163
전남,고흥군,275,15,430
전남,보성군,180,17,270
전남,화순군,309,5,556
전남,장흥군,234,13,313
전남,강진군,289,9,532
전남,해남군,285,14,424
전남,영암군,323,14,527
전남,무안군,462,14,676
전남,함평군,182,10,316
전남,영광군,155,7,205
전남,장성군,195,8,317
전남,완도군,163,8,239
전남,진도군,93,4,145
전남,신안군,105,8,170
경북,합계,"12,100",334,"17,690"
경북,포항시,"2,532",29,"3,811"
경북,경주시,"1,259",38,"1,909"
경북,김천시,515,22,678
경북,안동시,774,19,"1,212"
경북,구미시,"1,691",26,"2,343"
경북,영주시,472,15,624
